feature,coefficient,abs_coefficient
categorical__node_207,0.12689874411202373,0.12689874411202373
categorical__node_66,0.12454342297111452,0.12454342297111452
categorical__node_59,0.11569449459583833,0.11569449459583833
numeric__dominant_day_of_week,-0.11408522015489594,0.11408522015489594
categorical__node_135,0.11203913989541082,0.11203913989541082
numeric__avg_requested_procs,-0.1096320857045839,0.1096320857045839
categorical__node_154,0.10748219648912667,0.10748219648912667
categorical__node_133,0.10590279432546076,0.10590279432546076
numeric__syskill_jobs,0.1008885606557131,0.1008885606557131
categorical__node_203,0.09779512098137073,0.09779512098137073
categorical__node_105,0.09704582671771206,0.09704582671771206
categorical__node_244,0.09336987431842576,0.09336987431842576
categorical__node_184,0.09327471617502958,0.09327471617502958
